               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1207,            0.069847,            0.085012,          0.00023009,           0.0070632,          0.00011772,          2.7555e-05,             0.12478,            0.068484,            0.090274,            0.070068,           0.0033257,           0.0033257
                   1,             0.11299,            0.079676,            0.078225,          0.00037734,            0.010275,          0.00022328,          6.4233e-05,             0.10607,            0.086314,            0.069838,            0.040003,           0.0065931,           0.0065931
                   2,             0.10098,            0.074017,            0.053689,             0.92657,            0.024302,            0.016702,           0.0048566,            0.087007,            0.072778,            0.048598,           0.0098706,           0.0097945,           0.0097945
                   3,            0.085622,            0.068209,            0.049388,             0.95091,            0.032619,            0.036659,            0.014661,            0.075521,            0.066582,            0.047377,            0.009703,            0.009703,            0.009703
                   4,            0.077912,            0.065374,            0.048057,             0.95818,            0.037045,             0.04775,            0.020672,            0.070373,            0.063162,            0.046653,            0.009703,            0.009703,            0.009703
                   5,            0.073831,            0.062986,            0.047392,             0.77193,            0.068106,            0.058923,            0.026113,             0.06693,            0.061327,            0.046065,            0.009604,            0.009604,            0.009604
                   6,            0.070835,            0.061708,            0.047118,             0.70759,            0.083433,             0.06968,            0.032427,            0.064877,            0.060586,            0.045807,            0.009505,            0.009505,            0.009505
                   7,            0.068666,            0.061296,             0.04682,             0.72765,            0.093241,            0.078461,            0.037777,            0.062622,            0.058759,            0.045553,            0.009406,            0.009406,            0.009406
                   8,            0.067107,            0.059938,            0.046486,             0.72115,            0.093658,            0.080748,            0.038472,            0.061459,            0.058017,            0.045503,            0.009307,            0.009307,            0.009307
                   9,            0.065566,            0.058439,            0.046293,             0.75417,            0.092646,            0.086709,            0.042463,            0.060742,            0.057585,            0.045215,            0.009208,            0.009208,            0.009208
                  10,            0.064512,            0.058503,            0.046176,             0.72844,             0.10903,            0.094199,            0.046792,            0.059162,            0.056517,            0.045095,            0.009109,            0.009109,            0.009109
                  11,            0.063224,            0.057803,            0.046019,             0.73638,             0.10759,             0.09468,            0.048116,            0.058582,            0.055905,            0.044953,             0.00901,             0.00901,             0.00901
                  12,            0.062549,            0.057725,            0.045824,             0.74013,             0.11687,             0.10198,            0.051586,            0.057495,            0.055119,            0.044857,            0.008911,            0.008911,            0.008911
                  13,            0.061687,            0.056541,            0.045707,             0.74973,             0.11389,             0.10373,            0.053464,            0.056942,            0.054645,            0.044807,            0.008812,            0.008812,            0.008812
                  14,            0.060979,            0.056493,            0.045607,             0.73946,             0.12108,             0.10345,            0.052821,            0.056671,            0.054621,            0.044706,            0.008713,            0.008713,            0.008713
                  15,             0.06026,            0.056134,            0.045456,              0.7528,             0.12424,             0.11007,            0.057838,            0.055862,            0.054242,            0.044571,            0.008614,            0.008614,            0.008614
                  16,            0.059884,            0.055866,            0.045603,             0.74173,             0.12202,             0.11183,            0.058003,            0.055234,            0.053691,            0.044516,            0.008515,            0.008515,            0.008515
