               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.15287,            0.096015,             0.08401,          0.00040198,           0.0022691,           0.0002027,          4.6436e-05,             0.15073,             0.14492,            0.088807,            0.070074,           0.0033251,           0.0033251
                   1,              0.1412,             0.13608,            0.077967,            0.004128,              0.0204,           0.0030803,          0.00074889,              0.1335,              0.2088,            0.072005,            0.040008,           0.0065925,           0.0065925
                   2,             0.13069,             0.15083,            0.067764,            0.019396,            0.080298,            0.018397,           0.0055658,             0.12123,             0.23422,            0.069415,           0.0098762,           0.0097939,           0.0097939
                   3,              0.1218,             0.16987,            0.066435,            0.046302,            0.095877,            0.045045,            0.015426,             0.11409,             0.24806,            0.067053,            0.009703,            0.009703,            0.009703
                   4,             0.11724,             0.17772,            0.064323,             0.26879,             0.10801,            0.059618,            0.022272,             0.11176,             0.24768,             0.06511,            0.009703,            0.009703,            0.009703
                   5,             0.11381,             0.17605,            0.062799,            0.089044,             0.12597,            0.073572,            0.028503,             0.10839,             0.25075,            0.063839,            0.009604,            0.009604,            0.009604
                   6,             0.11191,             0.17627,            0.062044,             0.29075,             0.14584,            0.086463,            0.034432,             0.10657,             0.24716,            0.063479,            0.009505,            0.009505,            0.009505
                   7,             0.11031,             0.17691,            0.061741,             0.29636,             0.15894,            0.093184,            0.038634,               0.105,             0.24409,            0.062943,            0.009406,            0.009406,            0.009406
                   8,             0.10936,             0.17658,            0.061123,              0.2988,             0.16761,            0.099303,            0.041883,             0.10384,             0.24301,            0.062645,            0.009307,            0.009307,            0.009307
                   9,             0.10842,              0.1756,            0.061112,             0.30787,             0.16867,             0.10077,            0.042529,             0.10322,              0.2436,            0.062501,            0.009208,            0.009208,            0.009208
                  10,             0.10728,             0.17498,             0.06069,             0.31034,             0.17342,              0.1069,            0.046235,             0.10247,             0.24186,            0.062155,            0.009109,            0.009109,            0.009109
                  11,             0.10667,             0.17464,            0.060394,             0.31157,             0.19078,             0.11524,            0.050233,             0.10181,              0.2417,            0.062255,             0.00901,             0.00901,             0.00901
                  12,             0.10633,             0.17603,            0.060347,             0.32573,              0.1905,             0.11938,            0.052548,             0.10123,                0.24,            0.061941,            0.008911,            0.008911,            0.008911
                  13,             0.10563,             0.17489,            0.059962,             0.44044,             0.19768,             0.12567,            0.055842,             0.10101,             0.23957,            0.061682,            0.008812,            0.008812,            0.008812
                  14,             0.10552,             0.17456,            0.059821,             0.45734,             0.20202,             0.13171,            0.058856,             0.10044,             0.23957,             0.06152,            0.008713,            0.008713,            0.008713
                  15,             0.10481,             0.17531,            0.059758,             0.45691,             0.19566,             0.13229,            0.058331,             0.10033,              0.2424,            0.061456,            0.008614,            0.008614,            0.008614
                  16,             0.10445,             0.17408,            0.059514,             0.49082,             0.19178,             0.14221,            0.064144,            0.099655,             0.23816,            0.060842,            0.008515,            0.008515,            0.008515
                  17,             0.10435,             0.17304,            0.059253,              0.4896,             0.19353,             0.14482,            0.065102,            0.099368,             0.23851,            0.060813,            0.008416,            0.008416,            0.008416
                  18,             0.10363,             0.17303,            0.059103,              0.3907,             0.19416,             0.14616,              0.0663,            0.099232,             0.23746,            0.060815,            0.008317,            0.008317,            0.008317
                  19,             0.10334,             0.17275,             0.05898,              0.4967,             0.19632,             0.15256,             0.06967,            0.098968,             0.23786,            0.060555,            0.008218,            0.008218,            0.008218
                  20,             0.10353,             0.17298,            0.058814,             0.50521,             0.19919,             0.15891,            0.072828,            0.098508,             0.23655,             0.06027,            0.008119,            0.008119,            0.008119
                  21,             0.10289,             0.17283,            0.058825,             0.49701,             0.20231,             0.15918,            0.072806,            0.098422,              0.2375,            0.060276,             0.00802,             0.00802,             0.00802
                  22,             0.10265,             0.17171,             0.05863,              0.5058,             0.20875,              0.1634,            0.074705,            0.097927,             0.23654,            0.060237,            0.007921,            0.007921,            0.007921
                  23,             0.10261,             0.17337,            0.058338,             0.50926,             0.20072,             0.16582,            0.075413,            0.097734,             0.23547,            0.059874,            0.007822,            0.007822,            0.007822
                  24,             0.10215,              0.1725,            0.058231,             0.41173,             0.20848,             0.16815,            0.078118,            0.097571,             0.23494,            0.059887,            0.007723,            0.007723,            0.007723
                  25,             0.10215,             0.17152,            0.058303,              0.5118,             0.20343,             0.16972,            0.079536,            0.097408,             0.23513,            0.059711,            0.007624,            0.007624,            0.007624
                  26,             0.10189,             0.17202,            0.058049,             0.51644,             0.21288,             0.17605,             0.08235,            0.097145,             0.23647,            0.059573,            0.007525,            0.007525,            0.007525
                  27,             0.10195,             0.17107,            0.058182,             0.38577,             0.21412,             0.17792,            0.082963,            0.097029,             0.23498,            0.059471,            0.007426,            0.007426,            0.007426
                  28,             0.10161,             0.17162,            0.057833,             0.51694,              0.2177,             0.17868,            0.083052,            0.097018,             0.23472,            0.059553,            0.007327,            0.007327,            0.007327
                  29,              0.1016,             0.17056,            0.057979,             0.41623,             0.21326,             0.17984,             0.08435,             0.09684,             0.23434,            0.059397,            0.007228,            0.007228,            0.007228
                  30,             0.10109,             0.17023,            0.057825,              0.5283,             0.21568,             0.18347,            0.087061,            0.096626,             0.23472,            0.059316,            0.007129,            0.007129,            0.007129
                  31,             0.10108,             0.16949,             0.05765,             0.42888,             0.22245,             0.18574,            0.088789,            0.096489,             0.23323,            0.059205,             0.00703,             0.00703,             0.00703
                  32,             0.10105,             0.16953,            0.057677,             0.52913,             0.22307,             0.18606,            0.089357,            0.096331,             0.23395,            0.059197,            0.006931,            0.006931,            0.006931
                  33,             0.10057,             0.16823,            0.057516,             0.42885,             0.22222,             0.18555,            0.088263,            0.096386,             0.23351,            0.059139,            0.006832,            0.006832,            0.006832
                  34,             0.10082,             0.16853,            0.057425,             0.43575,             0.22136,             0.18945,            0.090884,            0.096106,             0.23292,            0.059079,            0.006733,            0.006733,            0.006733
                  35,              0.1005,             0.16766,            0.057432,             0.48392,             0.22571,             0.19534,            0.094047,            0.095955,             0.23229,            0.058911,            0.006634,            0.006634,            0.006634
                  36,             0.10022,             0.16786,            0.057278,             0.45829,             0.21967,             0.19263,            0.092866,            0.095981,             0.23204,            0.058845,            0.006535,            0.006535,            0.006535
                  37,             0.10026,              0.1695,            0.057247,             0.47831,             0.22317,              0.1951,            0.094569,             0.09577,             0.23258,            0.058782,            0.006436,            0.006436,            0.006436
                  38,              0.1005,             0.17087,            0.057138,              0.4884,             0.22319,               0.197,            0.094802,             0.09579,             0.23226,            0.058807,            0.006337,            0.006337,            0.006337
                  39,            0.099692,             0.16712,            0.056989,             0.43903,             0.22607,             0.19894,            0.096116,            0.095518,             0.23203,            0.058821,            0.006238,            0.006238,            0.006238
                  40,            0.099738,             0.16687,            0.056893,               0.445,             0.22955,             0.20055,            0.097205,            0.095526,              0.2324,            0.058816,            0.006139,            0.006139,            0.006139
                  41,            0.099469,             0.16748,            0.057006,             0.42605,             0.23112,             0.20178,            0.098111,            0.095429,             0.23158,            0.058634,             0.00604,             0.00604,             0.00604
                  42,            0.099671,             0.16761,            0.056792,             0.42685,             0.23327,             0.20404,            0.099639,            0.095246,              0.2323,            0.058572,            0.005941,            0.005941,            0.005941
                  43,            0.099603,             0.16653,            0.056971,             0.46131,             0.23171,             0.20484,             0.10081,            0.095241,             0.23078,            0.058617,            0.005842,            0.005842,            0.005842
                  44,            0.099027,             0.16583,            0.056742,             0.45424,             0.23466,             0.20827,             0.10187,            0.095109,             0.23075,            0.058489,            0.005743,            0.005743,            0.005743
                  45,            0.098944,             0.16573,            0.056565,              0.4539,             0.22805,             0.20783,             0.10195,            0.095168,             0.23089,             0.05851,            0.005644,            0.005644,            0.005644
                  46,            0.099132,             0.16694,            0.056725,             0.43159,             0.23275,             0.20828,              0.1034,            0.095001,             0.23096,            0.058462,            0.005545,            0.005545,            0.005545
                  47,            0.098893,             0.16645,            0.056578,             0.42548,             0.23827,             0.21045,             0.10312,            0.094931,             0.23056,            0.058441,            0.005446,            0.005446,            0.005446
                  48,            0.099053,             0.16618,            0.056543,             0.48302,              0.2355,             0.21291,             0.10479,            0.094775,             0.23107,            0.058409,            0.005347,            0.005347,            0.005347
                  49,            0.098824,             0.16703,            0.056635,             0.45042,             0.23802,             0.21394,             0.10485,            0.094786,             0.23114,            0.058328,            0.005248,            0.005248,            0.005248
                  50,             0.09862,              0.1658,            0.056533,             0.44422,             0.23924,              0.2164,             0.10707,            0.094663,             0.23043,            0.058293,            0.005149,            0.005149,            0.005149
                  51,              0.0988,              0.1651,            0.056413,             0.41621,             0.23903,             0.21569,             0.10679,            0.094627,             0.23049,            0.058289,             0.00505,             0.00505,             0.00505
                  52,            0.098316,             0.16474,             0.05634,             0.47721,             0.23825,             0.21767,              0.1081,            0.094633,             0.23015,            0.058222,            0.004951,            0.004951,            0.004951
                  53,            0.098332,             0.16501,            0.056369,             0.44637,             0.24533,             0.22046,             0.10925,            0.094451,             0.23013,            0.058201,            0.004852,            0.004852,            0.004852
                  54,            0.098749,             0.16548,            0.056326,             0.47128,             0.24464,             0.21874,             0.10885,            0.094444,             0.23036,            0.058206,            0.004753,            0.004753,            0.004753
                  55,            0.098221,             0.16532,            0.056395,             0.46774,             0.24323,             0.22135,             0.11024,            0.094386,             0.23002,            0.058168,            0.004654,            0.004654,            0.004654
                  56,             0.09812,             0.16433,            0.056317,             0.49857,             0.24287,             0.22275,             0.10997,            0.094307,             0.22994,            0.058101,            0.004555,            0.004555,            0.004555
                  57,            0.098368,             0.16621,            0.056107,              0.5179,             0.24203,             0.22348,             0.11134,            0.094237,             0.22976,            0.058089,            0.004456,            0.004456,            0.004456
                  58,            0.097974,             0.16517,            0.056046,             0.46509,             0.24483,              0.2268,             0.11312,            0.094227,             0.22957,            0.058094,            0.004357,            0.004357,            0.004357
                  59,            0.098195,             0.16451,            0.056197,             0.47309,             0.24266,             0.22347,             0.11212,            0.094241,             0.22964,            0.058084,            0.004258,            0.004258,            0.004258
                  60,            0.098045,             0.16544,            0.056039,              0.4778,             0.24487,             0.22655,             0.11437,            0.094145,             0.22953,            0.058022,            0.004159,            0.004159,            0.004159
                  61,            0.098131,             0.16403,            0.056209,             0.47429,             0.24789,             0.22754,             0.11429,            0.094091,             0.22938,            0.058005,             0.00406,             0.00406,             0.00406
                  62,            0.097927,              0.1648,            0.055902,             0.46145,             0.24933,              0.2286,             0.11463,            0.094082,             0.22964,            0.057982,            0.003961,            0.003961,            0.003961
                  63,            0.097965,             0.16371,            0.056072,             0.44484,             0.25102,             0.22817,             0.11461,            0.094055,              0.2293,            0.057988,            0.003862,            0.003862,            0.003862
                  64,            0.097629,             0.16372,            0.055991,             0.45076,             0.25163,             0.22976,              0.1156,            0.093998,             0.22925,            0.057924,            0.003763,            0.003763,            0.003763
                  65,            0.097735,             0.16311,            0.055868,              0.4483,             0.25314,             0.23072,             0.11619,            0.093935,             0.22915,            0.057922,            0.003664,            0.003664,            0.003664
                  66,            0.097808,             0.16322,            0.055929,             0.44758,             0.25599,             0.23171,             0.11688,            0.093869,             0.22898,             0.05791,            0.003565,            0.003565,            0.003565
