               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10307,            0.043571,             0.13591,          0.00060595,            0.045599,          0.00033394,          8.7749e-05,              0.1029,            0.035483,             0.15101,            0.070029,           0.0033301,           0.0033301
                   1,            0.085581,            0.046204,              0.1218,           0.0017995,             0.23441,           0.0024785,          0.00068163,            0.075304,             0.02974,               0.109,            0.039996,           0.0066305,           0.0066305
                   2,            0.069654,            0.045672,             0.11044,              0.1273,             0.05101,            0.033707,            0.011471,            0.062676,            0.028437,             0.10482,             0.00993,           0.0098978,           0.0098978
                   3,            0.061791,             0.04377,              0.1078,             0.28408,            0.094133,            0.057124,            0.022756,            0.057321,            0.026542,             0.10218,           0.0098515,           0.0098515,           0.0098515
                   4,            0.057765,            0.042838,             0.10543,              0.2692,             0.14473,            0.085813,            0.038175,            0.053773,            0.025689,            0.099322,           0.0098515,           0.0098515,           0.0098515
                   5,            0.055056,            0.041919,             0.10389,             0.34079,             0.19198,             0.13285,            0.060412,            0.052269,            0.025005,            0.097402,            0.009802,            0.009802,            0.009802
                   6,            0.053432,            0.041228,             0.10229,             0.32998,             0.23355,               0.175,            0.084138,            0.050399,            0.024745,            0.095576,           0.0097525,           0.0097525,           0.0097525
                   7,            0.052275,            0.040929,             0.10063,             0.31718,             0.25751,             0.19438,            0.097514,            0.048845,            0.024214,            0.093908,            0.009703,            0.009703,            0.009703
                   8,            0.051067,             0.04004,            0.099514,             0.36318,             0.30989,             0.24433,             0.12505,            0.047376,            0.023879,            0.092257,           0.0096535,           0.0096535,           0.0096535
                   9,            0.050056,            0.040122,            0.098584,             0.37872,             0.32576,             0.26052,             0.13635,            0.046585,            0.023492,             0.09186,            0.009604,            0.009604,            0.009604
                  10,            0.049099,            0.039673,            0.097464,             0.37739,              0.3588,             0.29278,             0.15357,            0.045391,            0.023224,            0.090399,           0.0095545,           0.0095545,           0.0095545
                  11,            0.048432,            0.039521,            0.096605,             0.38863,             0.38765,              0.3208,             0.17199,            0.044288,            0.023189,             0.08945,            0.009505,            0.009505,            0.009505
                  12,            0.047628,            0.039028,            0.095894,             0.42788,             0.40241,             0.34953,             0.19377,            0.043657,            0.022682,            0.088563,           0.0094555,           0.0094555,           0.0094555
                  13,            0.047189,            0.038675,            0.095161,             0.45594,             0.43723,             0.38733,             0.21348,            0.042868,            0.022463,            0.088171,            0.009406,            0.009406,            0.009406
                  14,            0.046706,            0.038371,            0.094494,             0.47597,             0.44647,             0.40302,             0.22555,            0.041909,            0.022241,            0.087125,           0.0093565,           0.0093565,           0.0093565
                  15,            0.045763,            0.037564,            0.093766,             0.49901,             0.45049,             0.43203,             0.24339,            0.041581,             0.02207,             0.08671,            0.009307,            0.009307,            0.009307
                  16,            0.045575,            0.038034,            0.093193,             0.51099,             0.48762,             0.46572,             0.26756,            0.040738,            0.021818,             0.08598,           0.0092575,           0.0092575,           0.0092575
                  17,            0.045002,            0.037389,            0.092804,             0.52401,             0.48848,             0.48842,             0.28117,            0.040255,            0.021701,            0.085451,            0.009208,            0.009208,            0.009208
